base_stat,effort,stat_name,stat_url,id,name
45,0,attack,https://pokeapi.co/api/v2/stat/2/,16,pidgey
40,0,defense,https://pokeapi.co/api/v2/stat/3/,16,pidgey
35,0,special-attack,https://pokeapi.co/api/v2/stat/4/,16,pidgey
35,0,special-defense,https://pokeapi.co/api/v2/stat/5/,16,pidgey
56,1,speed,https://pokeapi.co/api/v2/stat/6/,16,pidgey
30,0,hp,https://pokeapi.co/api/v2/stat/1/,19,rattata
56,0,attack,https://pokeapi.co/api/v2/stat/2/,19,rattata
35,0,defense,https://pokeapi.co/api/v2/stat/3/,19,rattata
25,0,special-attack,https://pokeapi.co/api/v2/stat/4/,19,rattata
35,0,special-defense,https://pokeapi.co/api/v2/stat/5/,19,rattata
72,1,speed,https://pokeapi.co/api/v2/stat/6/,19,rattata
30,0,hp,https://pokeapi.co/api/v2/stat/1/,10091,rattata-alola
56,0,attack,https://pokeapi.co/api/v2/stat/2/,10091,rattata-alola
35,0,defense,https://pokeapi.co/api/v2/stat/3/,10091,rattata-alola
25,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10091,rattata-alola
35,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10091,rattata-alola
72,1,speed,https://pokeapi.co/api/v2/stat/6/,10091,rattata-alola
40,0,hp,https://pokeapi.co/api/v2/stat/1/,21,spearow
60,0,attack,https://pokeapi.co/api/v2/stat/2/,21,spearow
30,0,defense,https://pokeapi.co/api/v2/stat/3/,21,spearow
31,0,special-attack,https://pokeapi.co/api/v2/stat/4/,21,spearow
31,0,special-defense,https://pokeapi.co/api/v2/stat/5/,21,spearow
70,1,speed,https://pokeapi.co/api/v2/stat/6/,21,spearow
35,0,hp,https://pokeapi.co/api/v2/stat/1/,23,ekans
60,1,attack,https://pokeapi.co/api/v2/stat/2/,23,ekans
44,0,defense,https://pokeapi.co/api/v2/stat/3/,23,ekans
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,23,ekans
54,0,special-defense,https://pokeapi.co/api/v2/stat/5/,23,ekans
55,0,speed,https://pokeapi.co/api/v2/stat/6/,23,ekans
50,0,hp,https://pokeapi.co/api/v2/stat/1/,27,sandshrew
75,0,attack,https://pokeapi.co/api/v2/stat/2/,27,sandshrew
85,1,defense,https://pokeapi.co/api/v2/stat/3/,27,sandshrew
20,0,special-attack,https://pokeapi.co/api/v2/stat/4/,27,sandshrew
30,0,special-defense,https://pokeapi.co/api/v2/stat/5/,27,sandshrew
40,0,speed,https://pokeapi.co/api/v2/stat/6/,27,sandshrew
50,0,hp,https://pokeapi.co/api/v2/stat/1/,10101,sandshrew-alola
75,0,attack,https://pokeapi.co/api/v2/stat/2/,10101,sandshrew-alola
90,1,defense,https://pokeapi.co/api/v2/stat/3/,10101,sandshrew-alola
10,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10101,sandshrew-alola
35,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10101,sandshrew-alola
40,0,speed,https://pokeapi.co/api/v2/stat/6/,10101,sandshrew-alola
55,1,hp,https://pokeapi.co/api/v2/stat/1/,29,nidoran-f
47,0,attack,https://pokeapi.co/api/v2/stat/2/,29,nidoran-f
52,0,defense,https://pokeapi.co/api/v2/stat/3/,29,nidoran-f
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,29,nidoran-f
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,29,nidoran-f
41,0,speed,https://pokeapi.co/api/v2/stat/6/,29,nidoran-f
46,0,hp,https://pokeapi.co/api/v2/stat/1/,32,nidoran-m
57,1,attack,https://pokeapi.co/api/v2/stat/2/,32,nidoran-m
40,0,defense,https://pokeapi.co/api/v2/stat/3/,32,nidoran-m
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,32,nidoran-m
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,32,nidoran-m
50,0,speed,https://pokeapi.co/api/v2/stat/6/,32,nidoran-m
38,0,hp,https://pokeapi.co/api/v2/stat/1/,37,vulpix
41,0,attack,https://pokeapi.co/api/v2/stat/2/,37,vulpix
40,0,defense,https://pokeapi.co/api/v2/stat/3/,37,vulpix
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,37,vulpix
65,0,special-defense,https://pokeapi.co/api/v2/stat/5/,37,vulpix
65,1,speed,https://pokeapi.co/api/v2/stat/6/,37,vulpix
38,0,hp,https://pokeapi.co/api/v2/stat/1/,10103,vulpix-alola
41,0,attack,https://pokeapi.co/api/v2/stat/2/,10103,vulpix-alola
40,0,defense,https://pokeapi.co/api/v2/stat/3/,10103,vulpix-alola
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10103,vulpix-alola
65,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10103,vulpix-alola
65,1,speed,https://pokeapi.co/api/v2/stat/6/,10103,vulpix-alola
40,0,hp,https://pokeapi.co/api/v2/stat/1/,41,zubat
45,0,attack,https://pokeapi.co/api/v2/stat/2/,41,zubat
35,0,defense,https://pokeapi.co/api/v2/stat/3/,41,zubat
30,0,special-attack,https://pokeapi.co/api/v2/stat/4/,41,zubat
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,41,zubat
55,1,speed,https://pokeapi.co/api/v2/stat/6/,41,zubat
45,0,hp,https://pokeapi.co/api/v2/stat/1/,43,oddish
50,0,attack,https://pokeapi.co/api/v2/stat/2/,43,oddish
55,0,defense,https://pokeapi.co/api/v2/stat/3/,43,oddish
75,1,special-attack,https://pokeapi.co/api/v2/stat/4/,43,oddish
65,0,special-defense,https://pokeapi.co/api/v2/stat/5/,43,oddish
30,0,speed,https://pokeapi.co/api/v2/stat/6/,43,oddish
35,0,hp,https://pokeapi.co/api/v2/stat/1/,46,paras
70,1,attack,https://pokeapi.co/api/v2/stat/2/,46,paras
55,0,defense,https://pokeapi.co/api/v2/stat/3/,46,paras
45,0,special-attack,https://pokeapi.co/api/v2/stat/4/,46,paras
55,0,special-defense,https://pokeapi.co/api/v2/stat/5/,46,paras
25,0,speed,https://pokeapi.co/api/v2/stat/6/,46,paras
60,0,hp,https://pokeapi.co/api/v2/stat/1/,48,venonat
55,0,attack,https://pokeapi.co/api/v2/stat/2/,48,venonat
50,0,defense,https://pokeapi.co/api/v2/stat/3/,48,venonat
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,48,venonat
55,1,special-defense,https://pokeapi.co/api/v2/stat/5/,48,venonat
45,0,speed,https://pokeapi.co/api/v2/stat/6/,48,venonat
10,0,hp,https://pokeapi.co/api/v2/stat/1/,50,diglett
55,0,attack,https://pokeapi.co/api/v2/stat/2/,50,diglett
25,0,defense,https://pokeapi.co/api/v2/stat/3/,50,diglett
35,0,special-attack,https://pokeapi.co/api/v2/stat/4/,50,diglett
45,0,special-defense,https://pokeapi.co/api/v2/stat/5/,50,diglett
95,1,speed,https://pokeapi.co/api/v2/stat/6/,50,diglett
10,0,hp,https://pokeapi.co/api/v2/stat/1/,10105,diglett-alola
55,0,attack,https://pokeapi.co/api/v2/stat/2/,10105,diglett-alola
30,0,defense,https://pokeapi.co/api/v2/stat/3/,10105,diglett-alola
35,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10105,diglett-alola
45,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10105,diglett-alola
90,1,speed,https://pokeapi.co/api/v2/stat/6/,10105,diglett-alola
40,0,hp,https://pokeapi.co/api/v2/stat/1/,52,meowth
45,0,attack,https://pokeapi.co/api/v2/stat/2/,52,meowth
35,0,defense,https://pokeapi.co/api/v2/stat/3/,52,meowth
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,52,meowth
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,52,meowth
90,1,speed,https://pokeapi.co/api/v2/stat/6/,52,meowth
40,0,hp,https://pokeapi.co/api/v2/stat/1/,10107,meowth-alola
35,0,attack,https://pokeapi.co/api/v2/stat/2/,10107,meowth-alola
35,0,defense,https://pokeapi.co/api/v2/stat/3/,10107,meowth-alola
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10107,meowth-alola
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10107,meowth-alola
90,1,speed,https://pokeapi.co/api/v2/stat/6/,10107,meowth-alola
50,0,hp,https://pokeapi.co/api/v2/stat/1/,10161,meowth-galar
65,1,attack,https://pokeapi.co/api/v2/stat/2/,10161,meowth-galar
55,0,defense,https://pokeapi.co/api/v2/stat/3/,10161,meowth-galar
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10161,meowth-galar
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10161,meowth-galar
40,0,speed,https://pokeapi.co/api/v2/stat/6/,10161,meowth-galar
40,0,hp,https://pokeapi.co/api/v2/stat/1/,10200,meowth-gmax
45,0,attack,https://pokeapi.co/api/v2/stat/2/,10200,meowth-gmax
35,0,defense,https://pokeapi.co/api/v2/stat/3/,10200,meowth-gmax
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10200,meowth-gmax
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10200,meowth-gmax
90,1,speed,https://pokeapi.co/api/v2/stat/6/,10200,meowth-gmax
50,0,hp,https://pokeapi.co/api/v2/stat/1/,54,psyduck
52,0,attack,https://pokeapi.co/api/v2/stat/2/,54,psyduck
48,0,defense,https://pokeapi.co/api/v2/stat/3/,54,psyduck
65,1,special-attack,https://pokeapi.co/api/v2/stat/4/,54,psyduck
50,0,special-defense,https://pokeapi.co/api/v2/stat/5/,54,psyduck
55,0,speed,https://pokeapi.co/api/v2/stat/6/,54,psyduck
40,0,hp,https://pokeapi.co/api/v2/stat/1/,56,mankey
80,1,attack,https://pokeapi.co/api/v2/stat/2/,56,mankey
35,0,defense,https://pokeapi.co/api/v2/stat/3/,56,mankey
35,0,special-attack,https://pokeapi.co/api/v2/stat/4/,56,mankey
45,0,special-defense,https://pokeapi.co/api/v2/stat/5/,56,mankey
70,0,speed,https://pokeapi.co/api/v2/stat/6/,56,mankey
55,0,hp,https://pokeapi.co/api/v2/stat/1/,58,growlithe
70,1,attack,https://pokeapi.co/api/v2/stat/2/,58,growlithe
45,0,defense,https://pokeapi.co/api/v2/stat/3/,58,growlithe
70,0,special-attack,https://pokeapi.co/api/v2/stat/4/,58,growlithe
50,0,special-defense,https://pokeapi.co/api/v2/stat/5/,58,growlithe
60,0,speed,https://pokeapi.co/api/v2/stat/6/,58,growlithe
60,0,hp,https://pokeapi.co/api/v2/stat/1/,10229,growlithe-hisui
75,1,attack,https://pokeapi.co/api/v2/stat/2/,10229,growlithe-hisui
45,0,defense,https://pokeapi.co/api/v2/stat/3/,10229,growlithe-hisui
65,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10229,growlithe-hisui
50,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10229,growlithe-hisui
55,0,speed,https://pokeapi.co/api/v2/stat/6/,10229,growlithe-hisui
40,0,hp,https://pokeapi.co/api/v2/stat/1/,60,poliwag
50,0,attack,https://pokeapi.co/api/v2/stat/2/,60,poliwag
40,0,defense,https://pokeapi.co/api/v2/stat/3/,60,poliwag
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,60,poliwag
40,0,special-defense,https://pokeapi.co/api/v2/stat/5/,60,poliwag
90,1,speed,https://pokeapi.co/api/v2/stat/6/,60,poliwag
25,0,hp,https://pokeapi.co/api/v2/stat/1/,63,abra
20,0,attack,https://pokeapi.co/api/v2/stat/2/,63,abra
15,0,defense,https://pokeapi.co/api/v2/stat/3/,63,abra
105,1,special-attack,https://pokeapi.co/api/v2/stat/4/,63,abra
55,0,special-defense,https://pokeapi.co/api/v2/stat/5/,63,abra
90,0,speed,https://pokeapi.co/api/v2/stat/6/,63,abra
70,0,hp,https://pokeapi.co/api/v2/stat/1/,66,machop
80,1,attack,https://pokeapi.co/api/v2/stat/2/,66,machop
50,0,defense,https://pokeapi.co/api/v2/stat/3/,66,machop
35,0,special-attack,https://pokeapi.co/api/v2/stat/4/,66,machop
35,0,special-defense,https://pokeapi.co/api/v2/stat/5/,66,machop
35,0,speed,https://pokeapi.co/api/v2/stat/6/,66,machop
50,0,hp,https://pokeapi.co/api/v2/stat/1/,69,bellsprout
75,1,attack,https://pokeapi.co/api/v2/stat/2/,69,bellsprout
35,0,defense,https://pokeapi.co/api/v2/stat/3/,69,bellsprout
70,0,special-attack,https://pokeapi.co/api/v2/stat/4/,69,bellsprout
30,0,special-defense,https://pokeapi.co/api/v2/stat/5/,69,bellsprout
40,0,speed,https://pokeapi.co/api/v2/stat/6/,69,bellsprout
40,0,hp,https://pokeapi.co/api/v2/stat/1/,72,tentacool
40,0,attack,https://pokeapi.co/api/v2/stat/2/,72,tentacool
35,0,defense,https://pokeapi.co/api/v2/stat/3/,72,tentacool
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,72,tentacool
100,1,special-defense,https://pokeapi.co/api/v2/stat/5/,72,tentacool
70,0,speed,https://pokeapi.co/api/v2/stat/6/,72,tentacool
40,0,hp,https://pokeapi.co/api/v2/stat/1/,74,geodude
80,0,attack,https://pokeapi.co/api/v2/stat/2/,74,geodude
100,1,defense,https://pokeapi.co/api/v2/stat/3/,74,geodude
30,0,special-attack,https://pokeapi.co/api/v2/stat/4/,74,geodude
30,0,special-defense,https://pokeapi.co/api/v2/stat/5/,74,geodude
20,0,speed,https://pokeapi.co/api/v2/stat/6/,74,geodude
40,0,hp,https://pokeapi.co/api/v2/stat/1/,10109,geodude-alola
80,0,attack,https://pokeapi.co/api/v2/stat/2/,10109,geodude-alola
100,1,defense,https://pokeapi.co/api/v2/stat/3/,10109,geodude-alola
30,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10109,geodude-alola
30,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10109,geodude-alola
20,0,speed,https://pokeapi.co/api/v2/stat/6/,10109,geodude-alola
80,0,hp,https://pokeapi.co/api/v2/stat/1/,3,venusaur
82,0,attack,https://pokeapi.co/api/v2/stat/2/,3,venusaur
83,0,defense,https://pokeapi.co/api/v2/stat/3/,3,venusaur
100,2,special-attack,https://pokeapi.co/api/v2/stat/4/,3,venusaur
100,1,special-defense,https://pokeapi.co/api/v2/stat/5/,3,venusaur
80,0,speed,https://pokeapi.co/api/v2/stat/6/,3,venusaur
80,0,hp,https://pokeapi.co/api/v2/stat/1/,10033,venusaur-mega
100,0,attack,https://pokeapi.co/api/v2/stat/2/,10033,venusaur-mega
123,0,defense,https://pokeapi.co/api/v2/stat/3/,10033,venusaur-mega
122,2,special-attack,https://pokeapi.co/api/v2/stat/4/,10033,venusaur-mega
120,1,special-defense,https://pokeapi.co/api/v2/stat/5/,10033,venusaur-mega
80,0,speed,https://pokeapi.co/api/v2/stat/6/,10033,venusaur-mega
80,0,hp,https://pokeapi.co/api/v2/stat/1/,10195,venusaur-gmax
82,0,attack,https://pokeapi.co/api/v2/stat/2/,10195,venusaur-gmax
83,0,defense,https://pokeapi.co/api/v2/stat/3/,10195,venusaur-gmax
100,2,special-attack,https://pokeapi.co/api/v2/stat/4/,10195,venusaur-gmax
100,1,special-defense,https://pokeapi.co/api/v2/stat/5/,10195,venusaur-gmax
80,0,speed,https://pokeapi.co/api/v2/stat/6/,10195,venusaur-gmax
58,0,hp,https://pokeapi.co/api/v2/stat/1/,5,charmeleon
64,0,attack,https://pokeapi.co/api/v2/stat/2/,5,charmeleon
58,0,defense,https://pokeapi.co/api/v2/stat/3/,5,charmeleon
80,1,special-attack,https://pokeapi.co/api/v2/stat/4/,5,charmeleon
65,0,special-defense,https://pokeapi.co/api/v2/stat/5/,5,charmeleon
80,1,speed,https://pokeapi.co/api/v2/stat/6/,5,charmeleon
78,0,hp,https://pokeapi.co/api/v2/stat/1/,6,charizard
84,0,attack,https://pokeapi.co/api/v2/stat/2/,6,charizard
78,0,defense,https://pokeapi.co/api/v2/stat/3/,6,charizard
109,3,special-attack,https://pokeapi.co/api/v2/stat/4/,6,charizard
85,0,special-defense,https://pokeapi.co/api/v2/stat/5/,6,charizard
100,0,speed,https://pokeapi.co/api/v2/stat/6/,6,charizard
78,0,hp,https://pokeapi.co/api/v2/stat/1/,10034,charizard-mega-x
130,0,attack,https://pokeapi.co/api/v2/stat/2/,10034,charizard-mega-x
111,0,defense,https://pokeapi.co/api/v2/stat/3/,10034,charizard-mega-x
130,3,special-attack,https://pokeapi.co/api/v2/stat/4/,10034,charizard-mega-x
85,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10034,charizard-mega-x
100,0,speed,https://pokeapi.co/api/v2/stat/6/,10034,charizard-mega-x
78,0,hp,https://pokeapi.co/api/v2/stat/1/,10035,charizard-mega-y
104,0,attack,https://pokeapi.co/api/v2/stat/2/,10035,charizard-mega-y
78,0,defense,https://pokeapi.co/api/v2/stat/3/,10035,charizard-mega-y
159,3,special-attack,https://pokeapi.co/api/v2/stat/4/,10035,charizard-mega-y
115,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10035,charizard-mega-y
100,0,speed,https://pokeapi.co/api/v2/stat/6/,10035,charizard-mega-y
78,0,hp,https://pokeapi.co/api/v2/stat/1/,10196,charizard-gmax
84,0,attack,https://pokeapi.co/api/v2/stat/2/,10196,charizard-gmax
78,0,defense,https://pokeapi.co/api/v2/stat/3/,10196,charizard-gmax
109,3,special-attack,https://pokeapi.co/api/v2/stat/4/,10196,charizard-gmax
85,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10196,charizard-gmax
100,0,speed,https://pokeapi.co/api/v2/stat/6/,10196,charizard-gmax
59,0,hp,https://pokeapi.co/api/v2/stat/1/,8,wartortle
63,0,attack,https://pokeapi.co/api/v2/stat/2/,8,wartortle
80,1,defense,https://pokeapi.co/api/v2/stat/3/,8,wartortle
65,0,special-attack,https://pokeapi.co/api/v2/stat/4/,8,wartortle
80,1,special-defense,https://pokeapi.co/api/v2/stat/5/,8,wartortle
58,0,speed,https://pokeapi.co/api/v2/stat/6/,8,wartortle
79,0,hp,https://pokeapi.co/api/v2/stat/1/,9,blastoise
83,0,attack,https://pokeapi.co/api/v2/stat/2/,9,blastoise
100,0,defense,https://pokeapi.co/api/v2/stat/3/,9,blastoise
85,0,special-attack,https://pokeapi.co/api/v2/stat/4/,9,blastoise
105,3,special-defense,https://pokeapi.co/api/v2/stat/5/,9,blastoise
78,0,speed,https://pokeapi.co/api/v2/stat/6/,9,blastoise
79,0,hp,https://pokeapi.co/api/v2/stat/1/,10036,blastoise-mega
103,0,attack,https://pokeapi.co/api/v2/stat/2/,10036,blastoise-mega
120,0,defense,https://pokeapi.co/api/v2/stat/3/,10036,blastoise-mega
135,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10036,blastoise-mega
115,3,special-defense,https://pokeapi.co/api/v2/stat/5/,10036,blastoise-mega
78,0,speed,https://pokeapi.co/api/v2/stat/6/,10036,blastoise-mega
79,0,hp,https://pokeapi.co/api/v2/stat/1/,10197,blastoise-gmax
83,0,attack,https://pokeapi.co/api/v2/stat/2/,10197,blastoise-gmax
100,0,defense,https://pokeapi.co/api/v2/stat/3/,10197,blastoise-gmax
85,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10197,blastoise-gmax
105,3,special-defense,https://pokeapi.co/api/v2/stat/5/,10197,blastoise-gmax
78,0,speed,https://pokeapi.co/api/v2/stat/6/,10197,blastoise-gmax
50,0,hp,https://pokeapi.co/api/v2/stat/1/,11,metapod
20,0,attack,https://pokeapi.co/api/v2/stat/2/,11,metapod
55,2,defense,https://pokeapi.co/api/v2/stat/3/,11,metapod
25,0,special-attack,https://pokeapi.co/api/v2/stat/4/,11,metapod
25,0,special-defense,https://pokeapi.co/api/v2/stat/5/,11,metapod
30,0,speed,https://pokeapi.co/api/v2/stat/6/,11,metapod
60,0,hp,https://pokeapi.co/api/v2/stat/1/,12,butterfree
45,0,attack,https://pokeapi.co/api/v2/stat/2/,12,butterfree
50,0,defense,https://pokeapi.co/api/v2/stat/3/,12,butterfree
90,2,special-attack,https://pokeapi.co/api/v2/stat/4/,12,butterfree
80,1,special-defense,https://pokeapi.co/api/v2/stat/5/,12,butterfree
70,0,speed,https://pokeapi.co/api/v2/stat/6/,12,butterfree
60,0,hp,https://pokeapi.co/api/v2/stat/1/,10198,butterfree-gmax
45,0,attack,https://pokeapi.co/api/v2/stat/2/,10198,butterfree-gmax
50,0,defense,https://pokeapi.co/api/v2/stat/3/,10198,butterfree-gmax
90,2,special-attack,https://pokeapi.co/api/v2/stat/4/,10198,butterfree-gmax
80,1,special-defense,https://pokeapi.co/api/v2/stat/5/,10198,butterfree-gmax
70,0,speed,https://pokeapi.co/api/v2/stat/6/,10198,butterfree-gmax
45,0,hp,https://pokeapi.co/api/v2/stat/1/,14,kakuna
25,0,attack,https://pokeapi.co/api/v2/stat/2/,14,kakuna
50,2,defense,https://pokeapi.co/api/v2/stat/3/,14,kakuna
25,0,special-attack,https://pokeapi.co/api/v2/stat/4/,14,kakuna
25,0,special-defense,https://pokeapi.co/api/v2/stat/5/,14,kakuna
35,0,speed,https://pokeapi.co/api/v2/stat/6/,14,kakuna
65,0,hp,https://pokeapi.co/api/v2/stat/1/,15,beedrill
90,2,attack,https://pokeapi.co/api/v2/stat/2/,15,beedrill
40,0,defense,https://pokeapi.co/api/v2/stat/3/,15,beedrill
45,0,special-attack,https://pokeapi.co/api/v2/stat/4/,15,beedrill
80,1,special-defense,https://pokeapi.co/api/v2/stat/5/,15,beedrill
75,0,speed,https://pokeapi.co/api/v2/stat/6/,15,beedrill
65,0,hp,https://pokeapi.co/api/v2/stat/1/,10090,beedrill-mega
150,2,attack,https://pokeapi.co/api/v2/stat/2/,10090,beedrill-mega
40,0,defense,https://pokeapi.co/api/v2/stat/3/,10090,beedrill-mega
15,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10090,beedrill-mega
80,1,special-defense,https://pokeapi.co/api/v2/stat/5/,10090,beedrill-mega
145,0,speed,https://pokeapi.co/api/v2/stat/6/,10090,beedrill-mega
63,0,hp,https://pokeapi.co/api/v2/stat/1/,17,pidgeotto
60,0,attack,https://pokeapi.co/api/v2/stat/2/,17,pidgeotto
55,0,defense,https://pokeapi.co/api/v2/stat/3/,17,pidgeotto
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,17,pidgeotto
50,0,special-defense,https://pokeapi.co/api/v2/stat/5/,17,pidgeotto
71,2,speed,https://pokeapi.co/api/v2/stat/6/,17,pidgeotto
83,0,hp,https://pokeapi.co/api/v2/stat/1/,18,pidgeot
80,0,attack,https://pokeapi.co/api/v2/stat/2/,18,pidgeot
75,0,defense,https://pokeapi.co/api/v2/stat/3/,18,pidgeot
70,0,special-attack,https://pokeapi.co/api/v2/stat/4/,18,pidgeot
70,0,special-defense,https://pokeapi.co/api/v2/stat/5/,18,pidgeot
101,3,speed,https://pokeapi.co/api/v2/stat/6/,18,pidgeot
83,0,hp,https://pokeapi.co/api/v2/stat/1/,10073,pidgeot-mega
80,0,attack,https://pokeapi.co/api/v2/stat/2/,10073,pidgeot-mega
80,0,defense,https://pokeapi.co/api/v2/stat/3/,10073,pidgeot-mega
135,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10073,pidgeot-mega
80,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10073,pidgeot-mega
121,3,speed,https://pokeapi.co/api/v2/stat/6/,10073,pidgeot-mega
55,0,hp,https://pokeapi.co/api/v2/stat/1/,20,raticate
81,0,attack,https://pokeapi.co/api/v2/stat/2/,20,raticate
60,0,defense,https://pokeapi.co/api/v2/stat/3/,20,raticate
50,0,special-attack,https://pokeapi.co/api/v2/stat/4/,20,raticate
70,0,special-defense,https://pokeapi.co/api/v2/stat/5/,20,raticate
97,2,speed,https://pokeapi.co/api/v2/stat/6/,20,raticate
75,0,hp,https://pokeapi.co/api/v2/stat/1/,10092,raticate-alola
71,0,attack,https://pokeapi.co/api/v2/stat/2/,10092,raticate-alola
70,0,defense,https://pokeapi.co/api/v2/stat/3/,10092,raticate-alola
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10092,raticate-alola
80,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10092,raticate-alola
77,2,speed,https://pokeapi.co/api/v2/stat/6/,10092,raticate-alola
75,0,hp,https://pokeapi.co/api/v2/stat/1/,10093,raticate-totem-alola
71,0,attack,https://pokeapi.co/api/v2/stat/2/,10093,raticate-totem-alola
70,0,defense,https://pokeapi.co/api/v2/stat/3/,10093,raticate-totem-alola
40,0,special-attack,https://pokeapi.co/api/v2/stat/4/,10093,raticate-totem-alola
80,0,special-defense,https://pokeapi.co/api/v2/stat/5/,10093,raticate-totem-alola
77,2,speed,https://pokeapi.co/api/v2/stat/6/,10093,raticate-totem-alola
65,0,hp,https://pokeapi.co/api/v2/stat/1/,22,fearow
90,0,attack,https://pokeapi.co/api/v2/stat/2/,22,fearow
65,0,defense,https://pokeapi.co/api/v2/stat/3/,22,fearow
61,0,special-attack,https://pokeapi.co/api/v2/stat/4/,22,fearow
61,0,special-defense,https://pokeapi.co/api/v2/stat/5/,22,fearow
100,2,speed,https://pokeapi.co/api/v2/stat/6/,22,fearow
60,0,hp,https://pokeapi.co/api/v2/stat/1/,24,arbok
95,2,attack,https://pokeapi.co/api/v2/stat/2/,24,arbok
69,0,defense,https://pokeapi.co/api/v2/stat/3/,24,arbok
65,0,special-attack,https://pokeapi.co/api/v2/stat/4/,24,arbok
79,0,special-defense,https://pokeapi.co/api/v2/stat/5/,24,arbok
80,0,speed,https://pokeapi.co/api/v2/stat/6/,24,arbok
