pokemon_name,id,BST,gen_num,classification
vaporeon,134,525,Gen 1,standard
jolteon,135,525,Gen 1,standard
flareon,136,525,Gen 1,standard
omastar,139,495,Gen 1,standard
kabutops,141,495,Gen 1,standard
snorlax,143,540,Gen 1,standard
dragonair,148,420,Gen 1,standard
dragonite,149,600,Gen 1,standard
mew,151,600,Gen 1,mythical
ivysaur,2,405,Gen 1,standard
golem,76,495,Gen 1,standard
sudowoodo,185,410,Gen 2,standard
chikorita,152,318,Gen 2,standard
xatu,178,470,Gen 2,standard
flaaffy,180,365,Gen 2,standard
cyndaquil,155,309,Gen 2,standard
ampharos,181,510,Gen 2,standard
bellossom,182,490,Gen 2,standard
totodile,158,314,Gen 2,standard
marill,183,250,Gen 2,standard
azumarill,184,420,Gen 2,standard
sentret,161,215,Gen 2,standard
espeon,196,525,Gen 2,standard
hoothoot,163,262,Gen 2,standard
umbreon,197,525,Gen 2,standard
ledyba,165,265,Gen 2,standard
slowking,199,490,Gen 2,standard
spinarak,167,250,Gen 2,standard
wobbuffet,202,405,Gen 2,standard
forretress,205,465,Gen 2,standard
chinchou,170,330,Gen 2,standard
steelix,208,510,Gen 2,standard
pichu,172,205,Gen 2,standard
cleffa,173,218,Gen 2,standard
igglybuff,174,210,Gen 2,standard
togepi,175,245,Gen 2,standard
natu,177,320,Gen 2,standard
mareep,179,280,Gen 2,standard
hoppip,187,250,Gen 2,standard
aipom,190,360,Gen 2,standard
sunkern,191,180,Gen 2,standard
yanma,193,390,Gen 2,standard
wooper,194,210,Gen 2,standard
murkrow,198,405,Gen 2,standard
misdreavus,200,435,Gen 2,standard
unown,201,336,Gen 2,standard
girafarig,203,455,Gen 2,standard
pineco,204,290,Gen 2,standard
dunsparce,206,415,Gen 2,standard
gligar,207,430,Gen 2,standard
snubbull,209,300,Gen 2,standard
qwilfish,211,440,Gen 2,standard
shuckle,213,505,Gen 2,standard
heracross,214,500,Gen 2,standard
sneasel,215,430,Gen 2,standard
teddiursa,216,330,Gen 2,standard
slugma,218,250,Gen 2,standard
swinub,220,250,Gen 2,standard
corsola,222,410,Gen 2,standard
remoraid,223,300,Gen 2,standard
delibird,225,330,Gen 2,standard
meganium,154,525,Gen 2,standard
quilava,156,405,Gen 2,standard
typhlosion,157,534,Gen 2,standard
croconaw,159,405,Gen 2,standard
feraligatr,160,530,Gen 2,standard
furret,162,415,Gen 2,standard
noctowl,164,452,Gen 2,standard
ledian,166,390,Gen 2,standard
ariados,168,400,Gen 2,standard
lanturn,171,460,Gen 2,standard
togetic,176,405,Gen 2,standard
granbull,210,450,Gen 2,standard
scizor,212,500,Gen 2,standard
ursaring,217,500,Gen 2,standard
magcargo,219,430,Gen 2,standard
piloswine,221,450,Gen 2,standard
octillery,224,480,Gen 2,standard
skarmory,227,465,Gen 2,standard
houndour,228,330,Gen 2,standard
phanpy,231,330,Gen 2,standard
stantler,234,465,Gen 2,standard
smeargle,235,250,Gen 2,standard
tyrogue,236,210,Gen 2,standard
smoochum,238,305,Gen 2,standard
elekid,239,360,Gen 2,standard
magby,240,365,Gen 2,standard
miltank,241,490,Gen 2,standard
raikou,243,580,Gen 2,legendary
entei,244,580,Gen 2,legendary
suicune,245,580,Gen 2,legendary
larvitar,246,300,Gen 2,standard
lugia,249,680,Gen 2,legendary
ho-oh,250,680,Gen 2,legendary
celebi,251,600,Gen 2,mythical
houndoom,229,500,Gen 2,standard
kingdra,230,540,Gen 2,standard
donphan,232,500,Gen 2,standard
porygon2,233,515,Gen 2,standard
hitmontop,237,455,Gen 2,standard
bayleef,153,405,Gen 2,standard
crobat,169,535,Gen 2,standard
politoed,186,500,Gen 2,standard
skiploom,188,340,Gen 2,standard
jumpluff,189,460,Gen 2,standard
sunflora,192,425,Gen 2,standard
quagsire,195,430,Gen 2,standard
mantine,226,485,Gen 2,standard
blissey,242,540,Gen 2,standard
pupitar,247,410,Gen 2,standard
tyranitar,248,600,Gen 2,standard
milotic,350,540,Gen 3,standard
banette,354,455,Gen 3,standard
treecko,252,310,Gen 3,standard
torchic,255,310,Gen 3,standard
mudkip,258,310,Gen 3,standard
poochyena,261,220,Gen 3,standard
zigzagoon,263,240,Gen 3,standard
wurmple,265,195,Gen 3,standard
lotad,270,220,Gen 3,standard
seedot,273,220,Gen 3,standard
taillow,276,270,Gen 3,standard
wingull,278,270,Gen 3,standard
ralts,280,198,Gen 3,standard
surskit,283,269,Gen 3,standard
shroomish,285,295,Gen 3,standard
slakoth,287,280,Gen 3,standard
nincada,290,266,Gen 3,standard
whismur,293,240,Gen 3,standard
makuhita,296,237,Gen 3,standard
azurill,298,190,Gen 3,standard
nosepass,299,375,Gen 3,standard
skitty,300,260,Gen 3,standard
pelipper,279,440,Gen 3,standard
kirlia,281,278,Gen 3,standard
gardevoir,282,518,Gen 3,standard
masquerain,284,454,Gen 3,standard
breloom,286,460,Gen 3,standard
vigoroth,288,440,Gen 3,standard
slaking,289,670,Gen 3,standard
ninjask,291,456,Gen 3,standard
shedinja,292,236,Gen 3,standard
loudred,294,360,Gen 3,standard
exploud,295,490,Gen 3,standard
hariyama,297,474,Gen 3,standard
sableye,302,380,Gen 3,standard
mawile,303,380,Gen 3,standard
aron,304,330,Gen 3,standard
meditite,307,280,Gen 3,standard
electrike,309,295,Gen 3,standard
plusle,311,405,Gen 3,standard
minun,312,405,Gen 3,standard
volbeat,313,430,Gen 3,standard
illumise,314,430,Gen 3,standard
gulpin,316,302,Gen 3,standard
carvanha,318,305,Gen 3,standard
wailmer,320,400,Gen 3,standard
numel,322,305,Gen 3,standard
torkoal,324,470,Gen 3,standard
spoink,325,330,Gen 3,standard
spinda,327,360,Gen 3,standard
trapinch,328,290,Gen 3,standard
cacnea,331,335,Gen 3,standard
swablu,333,310,Gen 3,standard
zangoose,335,458,Gen 3,standard
seviper,336,458,Gen 3,standard
lunatone,337,460,Gen 3,standard
solrock,338,460,Gen 3,standard
barboach,339,288,Gen 3,standard
corphish,341,308,Gen 3,standard
baltoy,343,300,Gen 3,standard
lileep,345,355,Gen 3,standard
anorith,347,355,Gen 3,standard
feebas,349,200,Gen 3,standard
castform,351,420,Gen 3,standard
kecleon,352,440,Gen 3,standard
shuppet,353,295,Gen 3,standard
duskull,355,295,Gen 3,standard
tropius,357,460,Gen 3,standard
absol,359,465,Gen 3,standard
wynaut,360,260,Gen 3,standard
snorunt,361,300,Gen 3,standard
spheal,363,290,Gen 3,standard
clamperl,366,345,Gen 3,standard
relicanth,369,485,Gen 3,standard
luvdisc,370,330,Gen 3,standard
bagon,371,300,Gen 3,standard
beldum,374,300,Gen 3,standard
lairon,305,430,Gen 3,standard
glalie,362,480,Gen 3,standard
sealeo,364,410,Gen 3,standard
walrein,365,530,Gen 3,standard
huntail,367,485,Gen 3,standard
gorebyss,368,485,Gen 3,standard
shelgon,372,420,Gen 3,standard
salamence,373,600,Gen 3,standard
metang,375,420,Gen 3,standard
regirock,377,580,Gen 3,legendary
regice,378,580,Gen 3,legendary
registeel,379,580,Gen 3,legendary
latias,380,600,Gen 3,legendary
latios,381,600,Gen 3,legendary
kyogre,382,670,Gen 3,legendary
groudon,383,670,Gen 3,legendary
rayquaza,384,680,Gen 3,legendary
jirachi,385,600,Gen 3,mythical
deoxys-normal,386,600,Gen 3,mythical
grovyle,253,405,Gen 3,standard
sceptile,254,530,Gen 3,standard
combusken,256,405,Gen 3,standard
blaziken,257,530,Gen 3,standard
marshtomp,259,405,Gen 3,standard
swampert,260,535,Gen 3,standard
mightyena,262,420,Gen 3,standard
linoone,264,420,Gen 3,standard
silcoon,266,205,Gen 3,standard
beautifly,267,395,Gen 3,standard
cascoon,268,205,Gen 3,standard
dustox,269,385,Gen 3,standard
lombre,271,340,Gen 3,standard
ludicolo,272,480,Gen 3,standard
nuzleaf,274,340,Gen 3,standard
shiftry,275,480,Gen 3,standard
swellow,277,455,Gen 3,standard
delcatty,301,400,Gen 3,standard
aggron,306,530,Gen 3,standard
medicham,308,410,Gen 3,standard
manectric,310,475,Gen 3,standard
roselia,315,400,Gen 3,standard
swalot,317,467,Gen 3,standard
sharpedo,319,460,Gen 3,standard
wailord,321,500,Gen 3,standard
camerupt,323,460,Gen 3,standard
grumpig,326,470,Gen 3,standard
vibrava,329,340,Gen 3,standard
flygon,330,520,Gen 3,standard
cacturne,332,475,Gen 3,standard
altaria,334,490,Gen 3,standard
whiscash,340,468,Gen 3,standard
crawdaunt,342,468,Gen 3,standard
claydol,344,500,Gen 3,standard
cradily,346,495,Gen 3,standard
armaldo,348,495,Gen 3,standard
dusclops,356,455,Gen 3,standard
chimecho,358,455,Gen 3,standard
metagross,376,600,Gen 3,standard
turtwig,387,318,Gen 4,standard
chimchar,390,309,Gen 4,standard
piplup,393,314,Gen 4,standard
starly,396,245,Gen 4,standard
bidoof,399,250,Gen 4,standard
kricketot,401,194,Gen 4,standard
shinx,403,263,Gen 4,standard
budew,406,280,Gen 4,standard
cranidos,408,350,Gen 4,standard
shieldon,410,350,Gen 4,standard
burmy,412,224,Gen 4,standard
combee,415,244,Gen 4,standard
pachirisu,417,405,Gen 4,standard
buizel,418,330,Gen 4,standard
cherubi,420,275,Gen 4,standard
shellos,422,325,Gen 4,standard
drifloon,425,348,Gen 4,standard
buneary,427,350,Gen 4,standard
glameow,431,310,Gen 4,standard
chingling,433,285,Gen 4,standard
stunky,434,329,Gen 4,standard
bronzor,436,300,Gen 4,standard
bonsly,438,290,Gen 4,standard
mime-jr,439,310,Gen 4,standard
happiny,440,220,Gen 4,standard
chatot,441,411,Gen 4,standard
spiritomb,442,485,Gen 4,standard
gible,443,300,Gen 4,standard
munchlax,446,390,Gen 4,standard
riolu,447,285,Gen 4,standard
hippopotas,449,330,Gen 4,standard
skorupi,451,330,Gen 4,standard
croagunk,453,300,Gen 4,standard
grotle,388,405,Gen 4,standard
monferno,391,405,Gen 4,standard
infernape,392,534,Gen 4,standard
prinplup,394,405,Gen 4,standard
staraptor,398,485,Gen 4,standard
bibarel,400,410,Gen 4,standard
kricketune,402,384,Gen 4,standard
luxio,404,363,Gen 4,standard
luxray,405,523,Gen 4,standard
roserade,407,515,Gen 4,standard
rampardos,409,495,Gen 4,standard
bastiodon,411,495,Gen 4,standard
wormadam-plant,413,424,Gen 4,standard
mothim,414,424,Gen 4,standard
vespiquen,416,474,Gen 4,standard
floatzel,419,495,Gen 4,standard
cherrim,421,450,Gen 4,standard
gastrodon,423,475,Gen 4,standard
ambipom,424,482,Gen 4,standard
drifblim,426,498,Gen 4,standard
lopunny,428,480,Gen 4,standard
mismagius,429,495,Gen 4,standard
honchkrow,430,505,Gen 4,standard
purugly,432,452,Gen 4,standard
skuntank,435,479,Gen 4,standard
bronzong,437,500,Gen 4,standard
gabite,444,410,Gen 4,standard
garchomp,445,600,Gen 4,standard
lucario,448,525,Gen 4,standard
hippowdon,450,525,Gen 4,standard
drapion,452,500,Gen 4,standard
carnivine,455,454,Gen 4,standard
finneon,456,330,Gen 4,standard
mantyke,458,345,Gen 4,standard
snover,459,334,Gen 4,standard
rotom,479,440,Gen 4,standard
uxie,480,580,Gen 4,legendary
mesprit,481,580,Gen 4,legendary
azelf,482,580,Gen 4,legendary
dialga,483,680,Gen 4,legendary
palkia,484,680,Gen 4,legendary
heatran,485,600,Gen 4,legendary
regigigas,486,670,Gen 4,legendary
giratina-altered,487,680,Gen 4,legendary
cresselia,488,580,Gen 4,legendary
phione,489,480,Gen 4,mythical
manaphy,490,600,Gen 4,mythical
darkrai,491,600,Gen 4,mythical
shaymin-land,492,600,Gen 4,mythical
arceus,493,720,Gen 4,mythical
lumineon,457,460,Gen 4,standard
abomasnow,460,494,Gen 4,standard
weavile,461,510,Gen 4,standard
magnezone,462,535,Gen 4,standard
lickilicky,463,515,Gen 4,standard
rhyperior,464,535,Gen 4,standard
tangrowth,465,535,Gen 4,standard
electivire,466,540,Gen 4,standard
magmortar,467,540,Gen 4,standard
togekiss,468,545,Gen 4,standard
yanmega,469,515,Gen 4,standard
leafeon,470,525,Gen 4,standard
glaceon,471,525,Gen 4,standard
gliscor,472,510,Gen 4,standard
porygon-z,474,535,Gen 4,standard
gallade,475,518,Gen 4,standard
probopass,476,525,Gen 4,standard
dusknoir,477,525,Gen 4,standard
froslass,478,480,Gen 4,standard
torterra,389,525,Gen 4,standard
empoleon,395,530,Gen 4,standard
staravia,397,340,Gen 4,standard
toxicroak,454,490,Gen 4,standard
mamoswine,473,530,Gen 4,standard
victini,494,600,Gen 5,mythical
snivy,495,308,Gen 5,standard
tepig,498,308,Gen 5,standard
oshawott,501,308,Gen 5,standard
patrat,504,255,Gen 5,standard
lillipup,506,275,Gen 5,standard
purrloin,509,281,Gen 5,standard
pansage,511,316,Gen 5,standard
pansear,513,316,Gen 5,standard
panpour,515,316,Gen 5,standard
munna,517,292,Gen 5,standard
pidove,519,264,Gen 5,standard
blitzle,522,295,Gen 5,standard
roggenrola,524,280,Gen 5,standard
woobat,527,323,Gen 5,standard
drilbur,529,328,Gen 5,standard
audino,531,445,Gen 5,standard
servine,496,413,Gen 5,standard
serperior,497,528,Gen 5,standard
pignite,499,418,Gen 5,standard
emboar,500,528,Gen 5,standard
dewott,502,413,Gen 5,standard
samurott,503,528,Gen 5,standard
watchog,505,420,Gen 5,standard
stoutland,508,500,Gen 5,standard
liepard,510,446,Gen 5,standard
simisage,512,498,Gen 5,standard
simisear,514,498,Gen 5,standard
simipour,516,498,Gen 5,standard
musharna,518,487,Gen 5,standard
tranquill,520,358,Gen 5,standard
unfezant,521,488,Gen 5,standard
zebstrika,523,497,Gen 5,standard
boldore,525,390,Gen 5,standard
gigalith,526,515,Gen 5,standard
swoobat,528,425,Gen 5,standard
excadrill,530,508,Gen 5,standard
timburr,532,305,Gen 5,standard
tympole,535,294,Gen 5,standard
throh,538,465,Gen 5,standard
sawk,539,465,Gen 5,standard
sewaddle,540,310,Gen 5,standard
venipede,543,260,Gen 5,standard
cottonee,546,280,Gen 5,standard
petilil,548,280,Gen 5,standard
basculin-red-striped,550,460,Gen 5,standard
sandile,551,292,Gen 5,standard
darumaka,554,315,Gen 5,standard
maractus,556,461,Gen 5,standard
dwebble,557,325,Gen 5,standard
scraggy,559,348,Gen 5,standard
sigilyph,561,490,Gen 5,standard
yamask,562,303,Gen 5,standard
tirtouga,564,355,Gen 5,standard
archen,566,401,Gen 5,standard
trubbish,568,329,Gen 5,standard
zorua,570,330,Gen 5,standard
minccino,572,300,Gen 5,standard
gothita,574,290,Gen 5,standard
solosis,577,290,Gen 5,standard
ducklett,580,305,Gen 5,standard
vanillite,582,305,Gen 5,standard
deerling,585,335,Gen 5,standard
emolga,587,428,Gen 5,standard
karrablast,588,315,Gen 5,standard
foongus,590,294,Gen 5,standard
frillish-male,592,335,Gen 5,standard
alomomola,594,470,Gen 5,standard
joltik,595,319,Gen 5,standard
ferroseed,597,305,Gen 5,standard
klink,599,300,Gen 5,standard
tynamo,602,275,Gen 5,standard
elgyem,605,335,Gen 5,standard
litwick,607,275,Gen 5,standard
conkeldurr,534,505,Gen 5,standard
palpitoad,536,384,Gen 5,standard
seismitoad,537,509,Gen 5,standard
swadloon,541,380,Gen 5,standard
leavanny,542,500,Gen 5,standard
whirlipede,544,360,Gen 5,standard
scolipede,545,485,Gen 5,standard
whimsicott,547,480,Gen 5,standard
lilligant,549,480,Gen 5,standard
krokorok,552,351,Gen 5,standard
krookodile,553,519,Gen 5,standard
darmanitan-standard,555,480,Gen 5,standard
crustle,558,485,Gen 5,standard
scrafty,560,488,Gen 5,standard
carracosta,565,495,Gen 5,standard
archeops,567,567,Gen 5,standard
garbodor,569,474,Gen 5,standard
zoroark,571,510,Gen 5,standard
cinccino,573,470,Gen 5,standard
gothorita,575,390,Gen 5,standard
gothitelle,576,490,Gen 5,standard
duosion,578,370,Gen 5,standard
reuniclus,579,490,Gen 5,standard
swanna,581,473,Gen 5,standard
vanillish,583,395,Gen 5,standard
vanilluxe,584,535,Gen 5,standard
sawsbuck,586,475,Gen 5,standard
escavalier,589,495,Gen 5,standard
amoonguss,591,464,Gen 5,standard
jellicent-male,593,480,Gen 5,standard
galvantula,596,472,Gen 5,standard
ferrothorn,598,489,Gen 5,standard
klang,600,440,Gen 5,standard
eelektrik,603,405,Gen 5,standard
eelektross,604,515,Gen 5,standard
beheeyem,606,485,Gen 5,standard
lampent,608,370,Gen 5,standard
axew,610,320,Gen 5,standard
cubchoo,613,305,Gen 5,standard
cryogonal,615,515,Gen 5,standard
shelmet,616,305,Gen 5,standard
stunfisk,618,471,Gen 5,standard
mienfoo,619,350,Gen 5,standard
druddigon,621,485,Gen 5,standard
golett,622,303,Gen 5,standard
pawniard,624,340,Gen 5,standard
bouffalant,626,490,Gen 5,standard
rufflet,627,350,Gen 5,standard
vullaby,629,370,Gen 5,standard
heatmor,631,484,Gen 5,standard
durant,632,484,Gen 5,standard
deino,633,300,Gen 5,standard
larvesta,636,360,Gen 5,standard
cobalion,638,580,Gen 5,legendary
terrakion,639,580,Gen 5,legendary
virizion,640,580,Gen 5,legendary
tornadus-incarnate,641,580,Gen 5,legendary
thundurus-incarnate,642,580,Gen 5,legendary
reshiram,643,680,Gen 5,legendary
zekrom,644,680,Gen 5,legendary
landorus-incarnate,645,600,Gen 5,legendary
kyurem,646,660,Gen 5,legendary
keldeo-ordinary,647,580,Gen 5,mythical
meloetta-aria,648,600,Gen 5,mythical
genesect,649,600,Gen 5,mythical
fraxure,611,410,Gen 5,standard
haxorus,612,540,Gen 5,standard
beartic,614,505,Gen 5,standard
accelgor,617,495,Gen 5,standard
golurk,623,483,Gen 5,standard
bisharp,625,490,Gen 5,standard
braviary,628,510,Gen 5,standard
mandibuzz,630,510,Gen 5,standard
zweilous,634,420,Gen 5,standard
hydreigon,635,600,Gen 5,standard
volcarona,637,550,Gen 5,standard
herdier,507,370,Gen 5,standard
gurdurr,533,405,Gen 5,standard
cofagrigus,563,483,Gen 5,standard
klinklang,601,520,Gen 5,standard
chandelure,609,520,Gen 5,standard
mienshao,620,510,Gen 5,standard
chespin,650,313,Gen 6,standard
fennekin,653,307,Gen 6,standard
froakie,656,314,Gen 6,standard
bunnelby,659,237,Gen 6,standard
fletchling,661,278,Gen 6,standard
scatterbug,664,200,Gen 6,standard
litleo,667,369,Gen 6,standard
flabebe,669,303,Gen 6,standard
skiddo,672,350,Gen 6,standard
pancham,674,348,Gen 6,standard
furfrou,676,472,Gen 6,standard
espurr,677,355,Gen 6,standard
honedge,679,325,Gen 6,standard
spritzee,682,341,Gen 6,standard
swirlix,684,341,Gen 6,standard
inkay,686,288,Gen 6,standard
quilladin,651,405,Gen 6,standard
chesnaught,652,530,Gen 6,standard
braixen,654,409,Gen 6,standard
delphox,655,534,Gen 6,standard
frogadier,657,405,Gen 6,standard
greninja,658,530,Gen 6,standard
diggersby,660,423,Gen 6,standard
fletchinder,662,382,Gen 6,standard
talonflame,663,499,Gen 6,standard
spewpa,665,213,Gen 6,standard
pyroar-male,668,507,Gen 6,standard
floette,670,371,Gen 6,standard
florges,671,552,Gen 6,standard
gogoat,673,531,Gen 6,standard
pangoro,675,495,Gen 6,standard
meowstic-male,678,466,Gen 6,standard
doublade,680,448,Gen 6,standard
aegislash-shield,681,500,Gen 6,standard
aromatisse,683,462,Gen 6,standard
slurpuff,685,480,Gen 6,standard
binacle,688,306,Gen 6,standard
skrelp,690,320,Gen 6,standard
clauncher,692,330,Gen 6,standard
helioptile,694,289,Gen 6,standard
tyrunt,696,362,Gen 6,standard
amaura,698,362,Gen 6,standard
hawlucha,701,500,Gen 6,standard
dedenne,702,431,Gen 6,standard
carbink,703,500,Gen 6,standard
goomy,704,300,Gen 6,standard
klefki,707,470,Gen 6,standard
phantump,708,309,Gen 6,standard
pumpkaboo-average,710,335,Gen 6,standard
bergmite,712,304,Gen 6,standard
noibat,714,245,Gen 6,standard
xerneas,716,680,Gen 6,legendary
yveltal,717,680,Gen 6,legendary
zygarde-50,718,600,Gen 6,legendary
diancie,719,600,Gen 6,mythical
hoopa,720,600,Gen 6,mythical
volcanion,721,600,Gen 6,mythical
barbaracle,689,500,Gen 6,standard
dragalge,691,494,Gen 6,standard
clawitzer,693,500,Gen 6,standard
heliolisk,695,481,Gen 6,standard
aurorus,699,521,Gen 6,standard
sylveon,700,525,Gen 6,standard
sliggoo,705,452,Gen 6,standard
goodra,706,600,Gen 6,standard
trevenant,709,474,Gen 6,standard
gourgeist-average,711,494,Gen 6,standard
avalugg,713,514,Gen 6,standard
noivern,715,535,Gen 6,standard
vivillon,666,411,Gen 6,standard
malamar,687,482,Gen 6,standard
tyrantrum,697,521,Gen 6,standard
rowlet,722,320,Gen 7,standard
litten,725,320,Gen 7,standard
popplio,728,320,Gen 7,standard
pikipek,731,265,Gen 7,standard
yungoos,734,253,Gen 7,standard
grubbin,736,300,Gen 7,standard
crabrawler,739,338,Gen 7,standard
oricorio-baile,741,476,Gen 7,standard
cutiefly,742,304,Gen 7,standard
rockruff,744,280,Gen 7,standard
wishiwashi-solo,746,175,Gen 7,standard
mareanie,747,305,Gen 7,standard
mudbray,749,385,Gen 7,standard
dewpider,751,269,Gen 7,standard
fomantis,753,250,Gen 7,standard
morelull,755,285,Gen 7,standard
salandit,757,320,Gen 7,standard
stufful,759,340,Gen 7,standard
bounsweet,761,210,Gen 7,standard
comfey,764,485,Gen 7,standard
dartrix,723,420,Gen 7,standard
decidueye,724,530,Gen 7,standard
torracat,726,420,Gen 7,standard
incineroar,727,530,Gen 7,standard
primarina,730,530,Gen 7,standard
trumbeak,732,355,Gen 7,standard
toucannon,733,485,Gen 7,standard
gumshoos,735,418,Gen 7,standard
charjabug,737,400,Gen 7,standard
vikavolt,738,500,Gen 7,standard
crabominable,740,478,Gen 7,standard
ribombee,743,464,Gen 7,standard
lycanroc-midday,745,487,Gen 7,standard
toxapex,748,495,Gen 7,standard
mudsdale,750,500,Gen 7,standard
araquanid,752,454,Gen 7,standard
lurantis,754,480,Gen 7,standard
shiinotic,756,405,Gen 7,standard
salazzle,758,480,Gen 7,standard
bewear,760,500,Gen 7,standard
steenee,762,290,Gen 7,standard
oranguru,765,490,Gen 7,standard
passimian,766,490,Gen 7,standard
wimpod,767,230,Gen 7,standard
sandygast,769,320,Gen 7,standard
pyukumuku,771,410,Gen 7,standard
type-null,772,534,Gen 7,legendary
minior-red-meteor,774,440,Gen 7,standard
komala,775,480,Gen 7,standard
turtonator,776,485,Gen 7,standard
togedemaru,777,435,Gen 7,standard
mimikyu-disguised,778,476,Gen 7,standard
bruxish,779,475,Gen 7,standard
drampa,780,485,Gen 7,standard
dhelmise,781,517,Gen 7,standard
jangmo-o,782,300,Gen 7,standard
tapu-koko,785,570,Gen 7,legendary
tapu-lele,786,570,Gen 7,legendary
